source,kanji,reading
JMDict,犬サフラン,イヌサフラン
JMDict,烏河豚,カラス
JMDict,可愛そう,かわいそう
JMDict,可哀相,かわいそう
JMDict,可哀想,かわいそう
JMDict,可哀そう,かわいそう
JMDict,目叩く,めばたく
JMDict,ＮｕｍＬｏｃｋ,ナムロック
JMDict,ジフの法則,ジップのほうそく
JMDict,ジップの法則,ジフのほうそく
JMDict,屡叩く,しばたく
JMDict,シティママｖｓカントリーパパ,シティママブイエスカントリーパパ
JMDict,屡叩く,しばたたく
JMDict,屡叩く,しばだたく
JMDict,板門店,パンムンジョム
JMDict,シルバー人材センター,シルバーじんさいセンター
JMDict,花合せ,はなあわせ
JMDict,ほっとひと息,ホッとひといき
JMDict,ほっと一息,ホッとひといき
JMDict,板屋貝,イタヤガイ
JMDict,ホッと一息,ほっとひといき
JMDict,ホッとひと息,ほっとひといき
JMDict,花守り,はなもり
JMDict,岩弁慶,イワベンケイ
JMDict,ジキル＆ハイド,ジキルアンドハイド
JMDict,ウエールズ語,ウェールズご
JMDict,ウェールズ語,ウエールズご
JMDict,鮟鱇形,あんこがた
JMDict,あんこ型,あんこうがた
JMDict,あんこ形,あんこうがた
JMDict,靫草,ウツボグサ
JMDict,花つくり,はなづくり
JMDict,花づくり,はなつくり
JMDict,海鰓,ウミエラ
JMDict,ＳＩＭ,シム
JMDict,ヌル型,ナルがた
JMDict,ナル型,ヌルがた
JMDict,海毛虫,ウミケムシ
JMDict,餡饅,アンマン
JMDict,笑い茸,ワライダケ
JMDict,笑い蕈,ワライダケ
JMDict,笑茸,ワライダケ
JMDict,海蠍,ウミサソリ
JMDict,笑い茸,ワライタケ
JMDict,笑い蕈,ワライタケ
JMDict,笑茸,ワライタケ
JMDict,藺,イ
JMDict,スター８０,スターエイティー
JMDict,海百合,うみゆり
JMDict,海百合,ウミユリ
JMDict,梅鉢草,ウメバチソウ
JMDict,めし屋,メシや
JMDict,飯屋,メシや
JMDict,メシ屋,めしや
JMDict,スリーメン＆ベビー,スリーメンアンドベビー
JMDict,スリーメン＆リトルレディ,スリーメンアンドリトルレディ
JMDict,飯櫃,いいびつ
JMDict,浜梨,ハマナス
JMDict,浜茄子,ハマナス
JMDict,浜茄子,はまなし
JMDict,家だに,いえダニ
JMDict,家壁蝨,いえダニ
JMDict,家ダニ,いえだに
JMDict,花アオイ,ハナアオイ
JMDict,花あおい,ハナアオイ
JMDict,花葵,ハナアオイ
JMDict,成しうる,なしえる
JMDict,成しえる,なしうる
JMDict,随神,かみながら
JMDict,惟神,かみながら
JMDict,随神,かむながら
JMDict,惟神,かむながら
JMDict,随神,いしん
JMDict,華魁,おいらん
JMDict,惟神道,かんながらのみち
JMDict,惟神道,かむながらのみち
JMDict,随神の道,かむながらのみち
JMDict,惟神の道,かむながらのみち
JMDict,菖蒲,そうぶ
JMDict,菖蒲,ショウブ
JMDict,菖蒲,アヤメ
JMDict,花かつお,はながつお
JMDict,花がつお,はなかつお
JMDict,版木,ばんぎ
JMDict,斑消え,むらぎえ
JMDict,い草,イぐさ
JMDict,藺草,イぐさ
JMDict,い草,イグサ
JMDict,イ草,イグサ
JMDict,藺草,イグサ
JMDict,イ草,いぐさ
JMDict,ダンジョン＆ドラゴン,ダンジョンアンドドラゴン
JMDict,斑猫,はんみょう
JMDict,斑蝥,はんみょう
JMDict,斑猫,ハンミョウ
JMDict,斑蝥,ハンミョウ
JMDict,チェリー２０００,チェリーツーサウザンド
JMDict,孟宗竹,モウソウチク
JMDict,孟宗竹,モウソウダケ
JMDict,斑鳩,イカル
JMDict,鵤,イカル
JMDict,窩主買,けいずかい
JMDict,臈長ける,ろうたける
JMDict,ＭＥＴＩ,メティ
JMDict,テルマ＆ルイーズ,テルマアンドルイーズ
JMDict,ディメンシャ１３,ディメンシャサーティーン
JMDict,波羅蜜,ぱらみつ
JMDict,波羅蜜,パラミツ
JMDict,膝行,いざり
JMDict,トイ・ストーリー２,トイストーリーツー
JMDict,鶍,イスカ
JMDict,交喙,イスカ
JMDict,痛い痛い病,イタイイタイびょう
JMDict,トラック２９,トラックトゥエンティーナイン
JMDict,３ＷＡＹ,スリーウェイ
JMDict,３ウエイ,スリーウェイ
JMDict,ＳＨＲ,ショートホームルーム
JMDict,ＳＨＲ,ショート・ホームルーム
JMDict,腕長隠れ蛸,ウデナガカクレダコ
JMDict,鮫肌手長蛸,サメハダテナガダコ
JMDict,ドライビングＭＩＳＳデイジー,ドライビングミスデイジー
JMDict,甚振る,いたぶる
JMDict,害児,ガイジ
JMDict,害児,ゲェジ
JMDict,トップ１０,トップテン
JMDict,一ころ,イチコロ
JMDict,箪笥の肥し,たんすのこやし
JMDict,情報漏えい,じょうほうろうせつ
JMDict,吏吐,りとう
JMDict,坐らにして,いながらにして
JMDict,温めムラ,あたためむら
JMDict,温めむら,あたためムラ
JMDict,加熱ムラ,かねつむら
JMDict,加熱むら,かねつムラ
JMDict,ノースダラス４０,ノースダラスフォーティー
JMDict,ハードウェアＴ＆Ｌ,ハードウェアティーアンドエル
JMDict,ハーレーダビッドソン＆マルボロマン,ハーレーダビッドソンアンドマルボロマン
JMDict,２ＷＡＹ,ツーウェイ
JMDict,２ウエイ,ツーウェイ
JMDict,２ＷＡＹ,ツーウエイ
JMDict,２ウェイ,ツーウエイ
JMDict,ハリー＆サン,ハリーアンドサン
JMDict,西表山猫,イリオモテヤマネコ
JMDict,西表山猫,いりおもてやまねこ
JMDict,ＢＭ,ビー・エム
JMDict,ハワイ・アリューシャン標準時,ハワイアリューシャンひょうじゅんじ
JMDict,岩絵具,いわえのぐ
JMDict,龍踊り,じゃおどり
JMDict,鰯鯨,イワシクジラ
JMDict,バッジ３７３,バッジスリーセブンスリー
JMDict,バット２１,バットトゥエンティーワン
JMDict,バベル１７,バベルセブンティーン
JMDict,茴香,ウイキョウ
JMDict,針千本,ハリセンボン
JMDict,はり千本,ハリセンボン
JMDict,延齢草,エンレイソウ
JMDict,パスポートｔｏパリ,パスポートツーパリ
JMDict,針もぐら,ハリモグラ
JMDict,針土竜,ハリモグラ
JMDict,ＥＤＴＡ,イー・ディー・ティー・エー
JMDict,パッセンジャー５７,パッセンジャーフィフティーセベン
JMDict,雉,キジ
JMDict,雉子,キジ
JMDict,雉子,きぎす
JMDict,雉子,きぎし
JMDict,似我蜂,ジガバチ
JMDict,ジガ蜂,ジガバチ
JMDict,扇芭蕉,オウギバショウ
JMDict,ピクニックａｔハンギングロック,ピクニックアットハンギングロック
JMDict,旅人の木,タビビトノキ
JMDict,傷跡,しょうこん
JMDict,疵痕,しょうこん
JMDict,傷あと,しょうこん
JMDict,大粟反,オオアワガエリ
JMDict,擬鳳蝶,あげはもどき
JMDict,揚羽擬き,アゲハモドキ
JMDict,揚羽擬,アゲハモドキ
JMDict,擬鳳蝶,アゲハモドキ
JMDict,大毛蓼,オオケタデ
JMDict,象,ゾウ
JMDict,大寿林,オオジュリン
JMDict,大野貝,オオノガイ
JMDict,端喰,はしばみ
JMDict,端喰み,はしばみ
JMDict,眼窠,がんわ
JMDict,深山鴉,ミヤマガラス
JMDict,深山烏,ミヤマガラス
JMDict,Ｗｅｂスクレイピング,ウェブ・スクレイピング
JMDict,Ｗｅｂスクレイピング,ウェブスクレイピング
JMDict,Ｗｅｂスクレイピング,ウェブスクレーピング
JMDict,薄翅蜉蝣,ウスバカゲロウ
JMDict,薄羽かげろう,ウスバカゲロウ
JMDict,薄羽蜉蝣,ウスバカゲロウ
JMDict,薄翅蜉蝣,うすばかげろう
JMDict,眼鏡猿,メガネザル
JMDict,婬女,いんにょ
JMDict,淫女,いんにょ
JMDict,鷽,ウソ
JMDict,引け,ヒケ
JMDict,バーストモード転送,バーストモードてんそう
JMDict,切掛,きっかけ
JMDict,切掛,キッカケ
JMDict,切っ掛,キッカケ
JMDict,切かけ,キッカケ
JMDict,切掛け,キッカケ
JMDict,かりかり梅,カリカリうめ
JMDict,カリカリ梅,かりかりうめ
JMDict,賞玩,しょうかん
JMDict,賞翫,しょうかん
JMDict,バーチャルＬＡＮ,バーチャルラン
JMDict,溝貝,どぶがい
JMDict,土負貝,ドブガイ
JMDict,溝貝,ドブガイ
JMDict,苧環蒸し,おだまきむし
JMDict,苧環蒸,おだまきむし
JMDict,深深,ちんちん
JMDict,深々,ちんちん
JMDict,ブラッド＆ワイン,ブラッドアンドワイン
JMDict,ブリムストン＆トリークル,ブリムストンアンドトリークル
JMDict,切尖,きっさき
JMDict,切先,きっさき
JMDict,切っ先,ほう
JMDict,切尖,ほう
JMDict,きっ先,ほう
JMDict,切先,ほう
JMDict,重ね合せの原理,かさねあわせのげんり
JMDict,ブルースブラザース２０００,ブルースブラザースツーサウザンド
JMDict,切符売場,きっぷうりば
JMDict,啐啄,そったく
JMDict,這這の体,ほうほうのてい
JMDict,這々の体,ほうほうのてい
JMDict,啐啄同時,そったくどうじ
JMDict,深履,ふかぐつ
JMDict,気づく,きずく
JMDict,気ずく,きづく
JMDict,１６進法,じゅうろくしんほう
JMDict,踊り子草,オドリコソウ
JMDict,踊子草,オドリコソウ
JMDict,尾長鴨,オナガガモ
JMDict,プログレッシブ和英中辞典,プログレッシブわえいじてん
JMDict,雌馬,ひんば
JMDict,雌馬,めま
JMDict,空木,うつぎ
JMDict,空木,ウツギ
JMDict,卯木,ウツギ
JMDict,鬼田平子,オニタビラコ
JMDict,靫蔓,うつぼかずら
JMDict,ユル募,ゆるぼ
JMDict,緩募,ユルぼ
JMDict,ゆる募,ユルぼ
JMDict,緩募,ユルボ
JMDict,ゆる募,ユルボ
JMDict,ユル募,ユルボ
JMDict,洞井守,ホライモリ
JMDict,韓国海苔,かんこくのり
JMDict,安・近・短,あんきんたん
JMDict,柄杓,ひしゃく
JMDict,柄杓,ひさく
JMDict,ホット・ショット２,ホットショットツー
JMDict,フグ中毒,フグちゅうどく
JMDict,河豚中毒,フグちゅうどく
JMDict,鐘楼,しゅろう
JMDict,ボブ＆キャロル＆テッド＆アリス,ボブアンドキャロルアンドテッドアンドアリス
JMDict,素見,ひやかし
JMDict,気紛れ,きまぐれ
JMDict,加密列,カミルレ
JMDict,加密列,カミツレ
JMDict,鷲摑み,ワシづかみ
JMDict,ワシ掴み,ワシづかみ
JMDict,鷲づかみ,ワシづかみ
JMDict,鷲掴み,ワシづかみ
JMDict,わし掴み,ワシづかみ
JMDict,心さみしい,うらさびしい
JMDict,心淋しい,うらさびしい
JMDict,心寂しい,うらさびしい
JMDict,唐鰯,カライワシ
JMDict,心淋しい,うらさみしい
JMDict,心寂しい,うらさみしい
JMDict,心さびしい,うらさみしい
JMDict,マーゲン・ダビド公社,マーゲンダビドこうしゃ
JMDict,外鰯,ソトイワシ
JMDict,裸鰯,ハダカイワシ
JMDict,懸巣,カケス
JMDict,懸け巣,カケス
